.streams.0.codec_name,.streams.0.codec_type,.streams.0.width,.streams.0.height,.streams.0.pix_fmt,.streams.0.avg_frame_rate,.streams.0.duration,.streams.0.nb_frames,.format.filename,.format.format_name,.format.size,.format.bit_rate,.frame.B,.frame.I,.frame.P
av1,video,2048,1080,yuv420p,30000/1001,10.01,300,001_av1_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",4971836,3973495,0,1,299
av1,video,2731,1440,yuv420p,30000/1001,10.01,300,001_av1_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",10460302,8359881,0,1,299
av1,video,910,480,yuv420p,30000/1001,10.01,300,001_av1_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",2006475,1603576,0,1,299
av1,video,4096,2160,yuv420p,30000/1001,10.01,300,001_av1_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",24264822,19392465,0,1,299
av1,video,1365,720,yuv420p,30000/1001,10.01,300,001_av1_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",3117868,2491802,0,1,299
av1,video,8192,4320,yuv420p,30000/1001,10.01,300,001_av1_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",106443181,85069475,0,1,299
h264,video,2048,1080,yuv420p,30000/1001,10.01,300,001_h264_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",12754875,10193706,222,2,76
h264,video,2731,1440,yuv420p,30000/1001,10.01,300,001_h264_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",26779859,21402484,221,2,77
h264,video,910,480,yuv420p,30000/1001,10.01,300,001_h264_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5624081,4494770,222,2,76
h264,video,4096,2160,yuv420p,30000/1001,10.01,300,001_h264_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",60253560,48154693,220,2,78
h264,video,1365,720,yuv420p,30000/1001,10.01,300,001_h264_720p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",7992737,6387801,222,2,76
h264,video,8192,4320,yuv420p,30000/1001,10.01,300,001_h264_8K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",199197937,159199150,39,2,259
hevc,video,2048,1080,yuv420p,30000/1001,10.01,300,001_hevc_1K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",13170513,10525884,222,2,76
hevc,video,2732,1440,yuv420p,30000/1001,10.01,300,001_hevc_2K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",26379357,21082403,222,2,76
hevc,video,910,480,yuv420p,30000/1001,10.01,300,001_hevc_480p.mp4,"mov,mp4,m4a,3gp,3g2,mj2",5727793,4577656,222,2,76
hevc,video,4096,2160,yuv420p,30000/1001,10.01,300,001_hevc_4K.mp4,"mov,mp4,m4a,3gp,3g2,mj2",59800634,47792714,222,2,76
