Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.9720059999999999,0.9799110000000001,0.957925,0.9653930000000001,0.9798950000000001,0.0,0.0,0.7988390000000001,0.973526,0.986345,0.990981,48.406165,49.439384999999994,49.309956,0.999183,0.99646,89.891111,49.05183533333334,0.88,0.94,0.74,0.76,0.987199,0.989255,0.988255
1,0.973427,0.980168,0.9588059999999999,0.9659209999999999,0.9833069999999999,12.298213,12.298213,0.797144,0.9758030000000001,0.988083,0.992585,48.366392,49.31711,49.197807,0.9992540000000001,0.996506,100.0,48.96043633333333,0.89,0.95,0.76,0.78,0.987082,0.988837,0.987871
2,0.9787629999999999,0.9819200000000001,0.9671420000000001,0.9757899999999999,0.986608,12.446552,12.446552,0.839081,0.985094,0.992245,0.994871,49.137007000000004,49.295259,49.240744,0.9994770000000001,0.997344,100.0,49.224336666666666,0.79,0.79,0.76,0.77,0.989091,0.98872,0.987909
3,0.7163609999999999,0.960483,0.8354790000000001,0.638881,0.466661,12.574681,12.574681,0.243432,0.36801,0.384184,0.363966,22.519705,40.595191,43.961858,0.594879,0.67589,18.421359,35.69225133333333,244.05,364.01,5.67,2.61,0.819011,0.977492,0.982467
4,0.720128,0.959883,0.8379790000000001,0.6313300000000001,0.488938,12.927294,13.120692000000002,0.238008,0.364356,0.381894,0.362622,22.615601,40.784671,44.199531,0.595878,0.675579,19.370998,35.866601,238.69,356.06,5.43,2.47,0.816684,0.977703,0.982289
5,0.7081850000000001,0.959289,0.829324,0.6310600000000001,0.468038,12.927294,12.927294,0.226872,0.348781,0.36633000000000004,0.348686,22.376339,40.720969000000004,44.262125,0.589957,0.671216,18.106198000000003,35.78647766666666,252.14,376.22,5.51,2.44,0.813874,0.977805,0.982124
6,0.706705,0.9586629999999999,0.8343,0.627099,0.451954,13.239432,13.239432,0.22353699999999999,0.342913,0.358354,0.338049,21.609977,40.29335,44.106587,0.5698989999999999,0.658937,18.222022,35.336638,300.65,448.83,6.08,2.53,0.811935,0.978722,0.982851
7,0.715096,0.958191,0.8276680000000001,0.625916,0.47770100000000004,14.578364,14.578364,0.225158,0.346186,0.361991,0.339945,21.108584,40.212924,43.922114,0.5573560000000001,0.645446,20.342108,35.08120733333333,337.31,503.76,6.19,2.64,0.80289,0.979382,0.983455
8,0.685624,0.953842,0.802142,0.607858,0.44448999999999994,13.788827,15.221855,0.195375,0.306114,0.321637,0.300914,20.488460999999997,39.691628,43.098385,0.513012,0.602053,17.065085999999997,34.426157999999994,389.08,581.08,6.98,3.19,0.769985,0.977155,0.981655
9,0.642352,0.947802,0.7743439999999999,0.547195,0.407789,11.900476,13.788827,0.17028,0.27573000000000003,0.292217,0.275836,21.705823000000002,40.480439000000004,43.214044,0.529064,0.617725,11.71675,35.13343533333333,294.18,439.03,5.82,3.1,0.774644,0.976141,0.980608
10,0.584381,0.9432010000000001,0.733115,0.48929799999999996,0.356426,11.197268,11.900476,0.157329,0.252911,0.267313,0.24963000000000002,21.327815,39.780376000000004,43.078958,0.522108,0.612879,6.013637999999999,34.72904966666667,320.98,478.96,6.84,3.2,0.772778,0.975324,0.980362
11,0.590939,0.9474440000000001,0.7489020000000001,0.5005649999999999,0.351526,11.197268,11.197268,0.174146,0.266353,0.277084,0.25599099999999997,20.510371,39.185014,43.027401,0.49623100000000003,0.5950989999999999,5.856943,34.24092866666667,387.28,578.15,7.84,3.24,0.772538,0.975942,0.981066
12,0.614934,0.952938,0.764949,0.525755,0.38369200000000003,12.614567999999998,12.614567999999998,0.210314,0.30522699999999997,0.31582899999999997,0.291694,20.550985999999998,39.247137,43.463609000000005,0.517857,0.613931,7.452896000000001,34.420577333333334,383.63,572.77,7.73,2.93,0.784646,0.977432,0.982089
13,0.599622,0.952034,0.762556,0.5110399999999999,0.338731,12.563839999999999,13.015642,0.204295,0.29680100000000004,0.307735,0.284179,19.743967,38.510793,42.780297999999995,0.498496,0.597332,6.086507,33.67835266666666,461.92,689.74,9.16,3.43,0.773908,0.977235,0.982425
14,0.596332,0.9500850000000001,0.750065,0.49471499999999996,0.360161,12.329919,12.563839999999999,0.194036,0.28275500000000003,0.292978,0.27019099999999996,19.357734,38.512932,42.768836,0.49755900000000003,0.5948979999999999,6.2825239999999996,33.54650066666667,504.69,753.89,9.16,3.44,0.770317,0.977049,0.982312
15,0.593232,0.9483889999999999,0.745877,0.49944099999999997,0.370169,12.329919,12.329919,0.181476,0.268498,0.27826,0.255958,19.099885,38.36569,42.466653,0.472192,0.568237,6.760453999999999,33.31074266666667,535.53,800.0,9.47,3.68,0.747971,0.974956,0.980974
16,0.605001,0.953667,0.761509,0.522626,0.373147,12.911427,12.911427,0.185096,0.273138,0.284997,0.263604,19.592554999999997,38.353299,42.250642,0.46453599999999995,0.544326,8.206613,33.398832,478.37,714.21,9.5,3.87,0.705271,0.971649,0.978659
17,0.59317,0.951075,0.748618,0.49549399999999993,0.36323099999999997,12.844028,13.523153,0.20388199999999998,0.299259,0.314931,0.295468,22.439223000000002,39.499275,44.119507,0.569198,0.651303,5.500033,35.352668333333334,248.85,370.82,7.3,2.52,0.794369,0.977075,0.982973
18,0.5642560000000001,0.9461290000000001,0.728388,0.475742,0.332652,9.303832,12.844028,0.161402,0.245577,0.260631,0.246061,21.392094,40.234337,43.304265,0.5168159999999999,0.601255,2.9946770000000003,34.97689866666666,316.15,471.92,6.16,3.04,0.758452,0.973925,0.981368
19,0.440047,0.892854,0.567284,0.331865,0.261171,9.303832,9.303832,0.06984800000000001,0.14523699999999998,0.17033099999999998,0.172362,20.176208,39.230278000000006,42.194122,0.486523,0.562789,0.408144,33.866869333333334,418.21,624.4,7.76,3.92,0.711485,0.968082,0.973925
20,0.576086,0.9466180000000001,0.729468,0.474764,0.342831,10.700624000000001,10.700624000000001,0.17571199999999998,0.256319,0.268492,0.250178,19.445831,38.640207000000004,43.123455,0.5018050000000001,0.598747,4.453823000000001,33.73649766666667,494.51,738.75,8.89,3.17,0.771498,0.977959,0.983298
21,0.58301,0.9473600000000001,0.747369,0.482696,0.33905100000000005,11.39148,11.515734,0.162537,0.242365,0.255721,0.240407,19.007493,38.18979,42.521567,0.463128,0.5626939999999999,6.560948,33.23961666666667,547.05,817.21,9.87,3.64,0.736462,0.974436,0.982365
22,0.63445,0.9527540000000001,0.79097,0.548242,0.398715,11.39148,11.39148,0.161707,0.241646,0.253897,0.23914699999999997,18.851956,38.382101,41.916311,0.43818199999999996,0.524354,12.147963,33.05012266666667,566.94,847.0,9.44,4.18,0.689602,0.971636,0.979047
23,0.608444,0.948843,0.751224,0.487832,0.35654,13.484588,13.484588,0.18404,0.276171,0.29169,0.272901,21.842178,40.860496000000005,44.069254,0.567946,0.655435,8.887575,35.59064266666667,284.96,425.46,5.33,2.55,0.805728,0.982478,0.98515
24,0.618754,0.9510879999999999,0.759727,0.510231,0.37330100000000005,14.061139,14.742011999999999,0.178602,0.265178,0.278511,0.25854299999999997,19.625286,39.435703000000004,43.216712,0.506678,0.605745,11.031504,34.092567,474.31,708.85,7.4,3.1,0.777481,0.982219,0.984852
25,0.580815,0.9445389999999999,0.730176,0.47720500000000005,0.358483,9.900578,14.061139,0.129737,0.205855,0.22092699999999998,0.208154,18.289105,38.592194,41.797121000000004,0.433126,0.529287,7.800136999999999,32.892806666666665,645.02,964.21,8.99,4.3,0.697109,0.97641,0.980863
26,0.5052,0.9171969999999999,0.645007,0.413919,0.31948200000000004,9.900578,9.900578,0.074085,0.143396,0.16676300000000002,0.169527,18.200149,38.460891,40.963378000000006,0.405163,0.479137,5.837073,32.54147266666667,658.52,984.16,9.27,5.21,0.624711,0.967288,0.971292
27,0.661196,0.9568459999999999,0.803879,0.580045,0.41458900000000004,11.671401,11.671401,0.200079,0.286711,0.300678,0.282648,18.336798,38.822309999999995,42.029742,0.45,0.540676,13.072917,33.06295,637.88,953.68,8.53,4.07,0.704686,0.978656,0.982011
28,0.6810930000000001,0.962492,0.825343,0.5983350000000001,0.421275,15.153426999999999,15.153426999999999,0.21811999999999998,0.307607,0.32247800000000004,0.302555,18.500555,38.857673,42.42086,0.44335600000000003,0.524798,17.383091,33.259696,614.29,918.39,8.46,3.72,0.688622,0.978953,0.982377
29,0.595479,0.949267,0.744552,0.475375,0.347522,13.358682,15.702832,0.184271,0.266527,0.28219299999999997,0.267754,20.215526999999998,39.247886,43.12075,0.481101,0.571617,7.847262,34.194721,414.33,618.77,7.73,3.17,0.749341,0.979176,0.983119
