Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.97849,0.9811989999999999,0.967576,0.973749,0.987734,0.0,0.0,0.8680030000000001,0.9892059999999999,0.994519,0.9964059999999999,49.874094,49.771598,49.608222,0.9996139999999999,0.9977889999999999,92.1344,49.75130466666667,0.68,0.67,0.69,0.71,0.990426,0.989834,0.988785
1,0.974216,0.979951,0.961498,0.966225,0.98403,12.298213,12.298213,0.8433120000000001,0.982876,0.9908610000000001,0.993898,49.348245,49.40948,49.339729999999996,0.9994930000000001,0.9973879999999999,100.0,49.36581833333333,0.75,0.76,0.74,0.76,0.989411,0.989397,0.988408
2,0.9740270000000001,0.9798129999999999,0.962032,0.967088,0.9827229999999999,12.446552,12.446552,0.8485590000000001,0.984033,0.9913770000000001,0.994133,49.381794,49.311785,49.292179,0.9995200000000001,0.9974959999999999,100.0,49.328586,0.75,0.75,0.76,0.77,0.989635,0.989072,0.988217
3,0.716121,0.960349,0.836621,0.6374850000000001,0.466214,12.574681,12.574681,0.24394000000000002,0.368158,0.384248,0.36395500000000003,22.51855,40.553872999999996,43.855228000000004,0.594813,0.675546,18.379603,35.64255033333333,244.14,364.1,5.72,2.68,0.818456,0.976214,0.980918
4,0.721495,0.959482,0.8381629999999999,0.631844,0.49337299999999995,12.927294,13.120692000000002,0.238677,0.364572,0.382048,0.362723,22.61597,40.817933000000004,44.246249,0.5959810000000001,0.675619,19.551508,35.893384,238.66,356.03,5.39,2.45,0.817131,0.977822,0.98235
5,0.7083470000000001,0.958726,0.828303,0.62859,0.47156400000000004,12.927294,12.927294,0.22757800000000003,0.349059,0.36651,0.34879299999999996,22.377192,40.734213000000004,44.303422999999995,0.5900890000000001,0.6713100000000001,18.115357,35.80494266666667,252.08,376.15,5.49,2.41,0.81443,0.97773,0.982002
6,0.701599,0.957779,0.8327389999999999,0.621871,0.44068199999999996,13.239432,13.239432,0.22433000000000003,0.343152,0.358476,0.338094,21.612016,40.325037,44.253091999999995,0.570198,0.659493,17.525123,35.396715,300.49,448.62,6.03,2.44,0.813514,0.979545,0.983741
7,0.716609,0.9584959999999999,0.8291139999999999,0.632717,0.476234,14.578364,14.578364,0.225514,0.346456,0.362169,0.34004,21.108346,40.115875,43.720040999999995,0.5572159999999999,0.6450140000000001,20.537542000000002,34.981420666666665,337.37,503.79,6.33,2.76,0.801781,0.976963,0.980841
8,0.682713,0.95289,0.802012,0.592997,0.447104,13.788827,15.221855,0.19548,0.30624,0.321721,0.300886,20.49186,39.709691,43.182133,0.5132909999999999,0.6022689999999999,16.690177,34.461228,388.76,580.62,6.95,3.13,0.770353,0.977271,0.982029
9,0.643456,0.946536,0.773775,0.5478529999999999,0.41196800000000006,11.900476,13.788827,0.170263,0.275671,0.292161,0.27569299999999997,21.708614,40.519905,43.32226,0.5293439999999999,0.6177560000000001,11.847592,35.183593,293.97,438.75,5.77,3.03,0.774662,0.97643,0.981114
