Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.992677,0.991182,0.9890620000000001,0.9929889999999999,0.994698,0.0,0.0,0.9268489999999999,0.995125,0.996556,0.9966969999999999,50.623714,49.620069,50.265981,0.998008,0.99877,95.362507,50.16992133333334,0.6,0.56,0.71,0.61,0.993972,0.991642,0.994028
1,0.9925799999999999,0.9906149999999999,0.9881059999999999,0.993389,0.994857,0.213772,0.213772,0.924225,0.994812,0.996352,0.9965700000000001,50.650752000000004,49.225488,50.011471,0.997973,0.998743,95.612829,49.96257033333333,0.61,0.56,0.78,0.65,0.993956,0.991195,0.993836
2,0.992527,0.990609,0.98793,0.9931719999999999,0.994944,0.213804,0.221955,0.9234690000000001,0.9944209999999999,0.995966,0.996301,50.48372,49.25115,50.044465,0.9978790000000001,0.9986440000000001,95.560294,49.926445,0.62,0.58,0.77,0.64,0.993818,0.991106,0.993829
3,0.992337,0.990726,0.9876809999999999,0.992439,0.9949959999999999,0.197124,0.213804,0.922075,0.9944280000000001,0.996187,0.996455,49.745816,49.115790999999994,50.016686,0.99782,0.998602,95.51811,49.62609766666666,0.7,0.69,0.8,0.65,0.993631,0.990774,0.993786
4,0.9924719999999999,0.990822,0.9878170000000001,0.99241,0.995252,0.197124,0.197124,0.9238799999999999,0.994173,0.9959790000000001,0.9965729999999999,49.70071,49.258362,50.054239,0.997825,0.9985930000000001,95.546544,49.67110366666666,0.7,0.7,0.77,0.64,0.99378,0.991181,0.993844
5,0.991869,0.990727,0.987449,0.992065,0.9941610000000001,0.19836199999999998,0.204473,0.923067,0.9942270000000001,0.9960180000000001,0.9966020000000001,49.746666999999995,49.135344,50.045763,0.997799,0.998556,95.421204,49.642591333333336,0.7,0.69,0.79,0.64,0.993685,0.990953,0.993825
6,0.992707,0.990858,0.9875,0.992308,0.996033,0.19836199999999998,0.19836199999999998,0.9233469999999999,0.994642,0.9961690000000001,0.996749,49.746508,49.146234,50.016318,0.9977799999999999,0.998566,95.624461,49.63635333333334,0.7,0.69,0.79,0.65,0.99369,0.990996,0.993807
7,0.992007,0.9906020000000001,0.987268,0.992052,0.9946510000000001,0.195414,0.199026,0.922482,0.994567,0.996283,0.996532,49.909186,49.155035999999996,50.007487,0.997783,0.9985649999999999,95.455224,49.69056966666667,0.68,0.66,0.79,0.65,0.993591,0.990889,0.993788
8,0.9897790000000001,0.9905889999999999,0.9861639999999999,0.990291,0.9906739999999999,0.181476,0.195414,0.9209790000000001,0.992981,0.994859,0.9953649999999999,49.292656,49.250583,49.968087,0.9977440000000001,0.9984540000000001,94.78596999999999,49.50377533333333,0.75,0.77,0.77,0.66,0.993641,0.991098,0.993781
9,0.990391,0.990776,0.9868819999999999,0.9907100000000001,0.99155,0.16098900000000002,0.181476,0.92281,0.993851,0.995864,0.996374,49.71492,49.172846,50.044774,0.9977940000000001,0.9985069999999999,95.02131,49.64418,0.7,0.69,0.79,0.64,0.993673,0.990939,0.993833
10,0.991434,0.990864,0.9871709999999999,0.990741,0.993994,0.14996400000000001,0.16098900000000002,0.9229879999999999,0.9948020000000001,0.9967239999999999,0.9973190000000001,49.928228999999995,49.185452000000005,50.064718,0.997762,0.9985200000000001,95.352101,49.726133000000004,0.68,0.66,0.78,0.64,0.993584,0.990846,0.993822
11,0.9911399999999999,0.9907159999999999,0.987532,0.990007,0.9936360000000001,0.144705,0.14996400000000001,0.9235129999999999,0.9940760000000001,0.995959,0.9968549999999999,50.078615,49.208736,49.996717,0.9978239999999999,0.998592,95.20594100000001,49.761356,0.66,0.64,0.78,0.65,0.993752,0.990996,0.993789
12,0.991074,0.9908370000000001,0.987693,0.9898,0.9934799999999999,0.141805,0.144705,0.923633,0.9938229999999999,0.995692,0.99661,50.035361,49.368858,50.149346,0.997819,0.99859,95.15476899999999,49.85118833333334,0.66,0.64,0.75,0.63,0.993753,0.991237,0.993919
13,0.989548,0.9903219999999999,0.985333,0.9894729999999999,0.9911040000000001,0.141805,0.141805,0.9191010000000001,0.992115,0.994489,0.9952190000000001,49.280446999999995,49.11639,49.970091,0.997697,0.9984299999999999,94.648416,49.45564266666667,0.75,0.77,0.8,0.65,0.993536,0.990817,0.99378
14,0.988828,0.9906159999999999,0.98615,0.989283,0.9889290000000001,0.143438,0.143438,0.920784,0.991713,0.9938870000000001,0.9945370000000001,49.255888,49.18079,50.028737,0.997733,0.998446,94.41122,49.48847166666667,0.75,0.77,0.79,0.65,0.993699,0.990979,0.99383
15,0.98918,0.990777,0.985843,0.9892989999999999,0.989869,0.14563099999999998,0.146543,0.920344,0.992123,0.994274,0.9950049999999999,49.251793,49.201351,50.139860999999996,0.997711,0.9984360000000001,94.547242,49.53100166666667,0.75,0.77,0.78,0.63,0.993656,0.991006,0.993899
16,0.988783,0.9903280000000001,0.984604,0.987977,0.9904629999999999,0.143714,0.14563099999999998,0.9183049999999999,0.9919020000000001,0.994217,0.9951200000000001,49.316615000000006,49.359876,50.32075,0.997714,0.9984719999999999,94.46329,49.665747,0.73,0.76,0.75,0.6,0.993625,0.991181,0.994021
17,0.989934,0.990524,0.9855010000000001,0.98885,0.992326,0.135472,0.143714,0.9178120000000001,0.992318,0.994769,0.995483,49.575773,49.322196999999996,50.284748,0.997682,0.9984790000000001,94.758235,49.72757266666667,0.71,0.72,0.76,0.61,0.993498,0.991074,0.993996
18,0.9884360000000001,0.989049,0.9838309999999999,0.986765,0.991275,0.135472,0.135472,0.910689,0.990181,0.9931979999999999,0.994511,48.969483000000004,49.354074,50.442011,0.997609,0.998397,94.272988,49.58852266666667,0.77,0.82,0.75,0.59,0.993455,0.991097,0.99404
19,0.990566,0.990585,0.9862860000000001,0.9901690000000001,0.9926940000000001,0.126644,0.14129,0.9215760000000001,0.992972,0.994876,0.99567,49.648828,49.220118,50.169903999999995,0.997758,0.998539,94.90734,49.67961666666667,0.7,0.71,0.78,0.63,0.993674,0.990917,0.993877
20,0.991143,0.9907360000000001,0.9871469999999999,0.9912489999999999,0.993007,0.120815,0.126644,0.922623,0.9934620000000001,0.995266,0.995876,49.965159,49.265535,50.031447,0.9977440000000001,0.9985620000000001,95.061472,49.75404699999999,0.67,0.66,0.77,0.65,0.993638,0.991,0.993801
21,0.9915780000000001,0.99056,0.9868290000000001,0.99055,0.994778,0.120815,0.120815,0.922682,0.993252,0.995199,0.996144,49.975424,49.25697,50.202271,0.997734,0.9985860000000001,95.173564,49.811555,0.67,0.65,0.77,0.62,0.993679,0.991135,0.993931
22,0.9922700000000001,0.990382,0.987043,0.991618,0.995818,0.114729,0.132724,0.920099,0.992082,0.994042,0.9946290000000001,49.248422,48.575803,49.50439,0.997624,0.9985440000000001,95.13703000000001,49.10953833333334,0.79,0.77,0.9,0.73,0.993392,0.990788,0.993642
23,0.9917040000000001,0.989893,0.9850559999999999,0.991867,0.9953139999999999,0.11102200000000001,0.114729,0.910042,0.9868549999999999,0.989293,0.9894350000000001,45.186924,46.041009,46.503048,0.996921,0.99818,94.35614100000001,45.910327,1.83,1.97,1.62,1.45,0.992415,0.989573,0.992494
24,0.9854360000000001,0.986691,0.978002,0.9858180000000001,0.987906,0.11102200000000001,0.11102200000000001,0.8797879999999999,0.975749,0.9820959999999999,0.984656,43.765547999999995,45.563719,45.670663,0.996188,0.9977370000000001,92.242719,44.99997666666666,2.42,2.73,1.81,1.76,0.991443,0.989312,0.99189
25,0.991877,0.990243,0.986326,0.993059,0.9942639999999999,0.115719,0.115719,0.911314,0.986619,0.989083,0.989185,44.154478999999995,45.842017,46.029153,0.996801,0.9980950000000001,94.36999499999999,45.341882999999996,2.22,2.5,1.69,1.62,0.992354,0.989532,0.992334
26,0.9866309999999999,0.98736,0.979426,0.987301,0.989044,0.117505,0.117505,0.8868209999999999,0.979125,0.9842280000000001,0.986661,43.862296,46.243398,46.217619,0.9964139999999999,0.9978440000000001,92.779174,45.44110433333333,2.3,2.67,1.54,1.55,0.991783,0.989258,0.992007
27,0.993041,0.9908530000000001,0.987926,0.9934379999999999,0.995991,0.139106,0.139106,0.916927,0.9895120000000001,0.9919899999999999,0.9928809999999999,44.705393,48.025504999999995,47.986206,0.997142,0.998245,95.093752,46.90570133333333,1.81,2.2,1.02,1.03,0.99271,0.990421,0.993292
28,0.9922059999999999,0.9914379999999999,0.9890200000000001,0.993858,0.992865,0.14503,0.14503,0.916376,0.9867090000000001,0.9887940000000001,0.9898379999999999,37.119608,45.792384999999996,44.691922999999996,0.995238,0.995309,94.5219,42.534638666666666,9.07,12.62,1.71,2.21,0.990895,0.98952,0.99258
