Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.9919620000000001,0.991416,0.987499,0.9921969999999999,0.9939899999999999,0.0,0.0,0.923952,0.993684,0.9955700000000001,0.9961959999999999,50.545085,49.833526,50.414,0.9977879999999999,0.9986780000000001,95.11478699999999,50.264203666666674,0.59,0.57,0.68,0.59,0.993814,0.991923,0.994185
1,0.991137,0.990748,0.986052,0.991668,0.9931780000000001,0.213772,0.213772,0.920637,0.993087,0.9952110000000001,0.9956229999999999,50.51928,49.527094,50.250208,0.997713,0.998613,95.16243399999999,50.09886066666667,0.61,0.58,0.73,0.61,0.993731,0.99165,0.994054
2,0.990958,0.990748,0.986015,0.9915,0.992851,0.213804,0.221955,0.9199729999999999,0.992865,0.9949479999999999,0.995625,50.394868,49.516411,50.241147,0.997627,0.99854,95.110501,50.05080866666666,0.62,0.59,0.73,0.62,0.993608,0.991545,0.994065
3,0.9917379999999999,0.9910399999999999,0.985748,0.9914930000000001,0.994807,0.197124,0.213804,0.9200229999999999,0.99339,0.9955229999999999,0.99616,49.527245,49.43897,50.232105,0.997598,0.9985209999999999,95.328761,49.732773333333334,0.71,0.73,0.74,0.62,0.993498,0.991376,0.994084
4,0.9915879999999999,0.991078,0.9860450000000001,0.990819,0.994718,0.197124,0.197124,0.921215,0.993189,0.995552,0.996131,49.650351,49.593643,50.307075,0.997624,0.99851,95.29415,49.85035633333333,0.69,0.7,0.71,0.61,0.993617,0.991709,0.994174
5,0.9908020000000001,0.990983,0.985132,0.9901549999999999,0.993607,0.19836199999999998,0.204473,0.919249,0.9925510000000001,0.9947590000000001,0.995401,49.575191,49.474591,50.338566,0.99756,0.998441,95.027395,49.796116000000005,0.7,0.72,0.73,0.6,0.993495,0.991551,0.994156
6,0.9913690000000001,0.990926,0.9852920000000001,0.990886,0.994518,0.19836199999999998,0.19836199999999998,0.9190889999999999,0.9930899999999999,0.995192,0.99611,49.648644,49.482727000000004,50.309899,0.997558,0.998453,95.22943199999999,49.81375666666667,0.69,0.71,0.73,0.61,0.993509,0.991523,0.994138
7,0.990952,0.991,0.9851059999999999,0.9906290000000001,0.993685,0.195414,0.199026,0.919324,0.993445,0.9957020000000001,0.9960760000000001,49.776105,49.44941,50.291284000000005,0.9975700000000001,0.99849,95.15658499999999,49.838933,0.68,0.68,0.74,0.61,0.99347,0.991398,0.994128
8,0.989417,0.990867,0.984926,0.989979,0.9903850000000001,0.181476,0.195414,0.918992,0.991979,0.994051,0.9944649999999999,49.292629999999996,49.551186,50.256238,0.997567,0.998375,94.593953,49.700018,0.73,0.77,0.72,0.61,0.993558,0.991636,0.994144
9,0.989814,0.9909389999999999,0.984936,0.990122,0.9912559999999999,0.16098900000000002,0.181476,0.920011,0.9927959999999999,0.9950549999999999,0.995484,49.594284,49.465388,50.319697,0.9975940000000001,0.998425,94.782557,49.793123,0.7,0.71,0.74,0.6,0.993536,0.991442,0.994174
10,0.9910909999999999,0.991065,0.986115,0.9911200000000001,0.993259,0.14996400000000001,0.16098900000000002,0.9209309999999999,0.994016,0.9960030000000001,0.9966659999999999,49.833555,49.470636999999996,50.38049,0.997607,0.9984870000000001,95.18857,49.894894,0.67,0.68,0.73,0.6,0.99349,0.991365,0.994205
11,0.9905860000000001,0.9909319999999999,0.9853639999999999,0.990432,0.99282,0.144705,0.14996400000000001,0.9207200000000001,0.993343,0.995376,0.996088,50.028845000000004,49.482945,50.340749,0.997648,0.998519,94.993886,49.95084633333334,0.65,0.65,0.73,0.6,0.993632,0.991514,0.994215
12,0.99026,0.990841,0.9858389999999999,0.9898049999999999,0.992236,0.141805,0.144705,0.9208059999999999,0.993035,0.995187,0.9962340000000001,49.941621000000005,49.663435,50.492684999999994,0.997642,0.998503,94.92049300000001,50.03258033333333,0.65,0.66,0.7,0.58,0.993609,0.991793,0.994292
13,0.9893129999999999,0.990632,0.9844709999999999,0.9891540000000001,0.9909610000000001,0.141805,0.141805,0.9170520000000001,0.991431,0.993941,0.995001,49.183741,49.432793,50.332685999999995,0.997561,0.998393,94.55161,49.64974,0.75,0.78,0.74,0.6,0.993483,0.991378,0.994175
14,0.9882479999999999,0.9908020000000001,0.9841129999999999,0.988375,0.988866,0.143438,0.143438,0.917536,0.991075,0.993614,0.994813,49.180929,49.496377,50.379756,0.997589,0.9983799999999999,94.291057,49.685687333333334,0.74,0.79,0.73,0.6,0.993587,0.99153,0.994227
15,0.98882,0.9909530000000001,0.984661,0.988367,0.9900049999999999,0.14563099999999998,0.146543,0.917494,0.991715,0.99405,0.9951709999999999,49.253994,49.559965000000005,50.484882,0.997576,0.9983870000000001,94.469535,49.766280333333334,0.73,0.77,0.72,0.58,0.993546,0.9916,0.994281
