Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.974327,0.942377,0.95478,0.9819370000000001,0.992115,0.0,0.0,0.5307930000000001,0.957649,0.9782709999999999,0.9852350000000001,40.642675,39.551722999999996,40.630835999999995,0.997036,0.9880709999999999,89.904798,40.275078,5.88,5.61,7.21,5.62,0.93909,0.911122,0.926565
1,0.9685090000000001,0.93385,0.94229,0.975418,0.9905299999999999,3.0258,3.0258,0.473261,0.947305,0.976554,0.986823,39.442275,38.001548,40.188375,0.996085,0.981851,92.463149,39.21073266666667,7.68,7.39,10.3,6.22,0.915741,0.874019,0.915464
2,0.9715229999999999,0.9367629999999999,0.948569,0.9796239999999999,0.991475,3.0838240000000003,3.5146410000000006,0.490562,0.959578,0.982533,0.9899399999999999,40.121241,39.013511,40.660629,0.997361,0.986324,93.698516,39.931793666666664,6.51,6.32,8.16,5.58,0.929079,0.901678,0.923541
3,0.9171739999999999,0.931009,0.9239139999999999,0.92261,0.904502,3.0838240000000003,3.0838240000000003,0.3766,0.772043,0.802199,0.810612,27.741152000000003,35.429590000000005,38.361189,0.907216,0.893596,62.452321999999995,33.843977,77.6,109.39,18.62,9.48,0.844676,0.812502,0.891701
4,0.90914,0.9263469999999999,0.912219,0.912452,0.8980379999999999,3.2287310000000002,3.2287310000000002,0.37419,0.7748649999999999,0.805236,0.813284,27.644839,36.365424,38.919478999999995,0.907857,0.8974610000000001,61.263532,34.309914,78.44,111.84,15.01,8.33,0.858242,0.83858,0.903233
5,0.907592,0.9259139999999999,0.913065,0.91979,0.8893409999999999,3.302659,3.302659,0.369145,0.772523,0.803083,0.811379,27.185139000000003,35.844567,38.437258,0.903401,0.8892469999999999,60.865726,33.822321333333335,87.25,124.33,16.92,9.31,0.846739,0.820614,0.894805
6,0.906183,0.922869,0.9112520000000001,0.9157350000000001,0.8905559999999999,3.409041,3.409041,0.367147,0.7733369999999999,0.804601,0.81415,27.035809000000004,36.417029,38.730641999999996,0.9055690000000001,0.892882,60.939375,34.06116,89.7,128.68,14.83,8.71,0.853955,0.836025,0.901219
7,0.9047940000000001,0.9238959999999999,0.910532,0.906969,0.8926930000000001,3.4654510000000003,3.4927669999999997,0.366967,0.774319,0.80553,0.8154100000000001,27.137777000000003,36.531765,38.845892,0.910458,0.8967629999999999,60.831865,34.17181133333333,87.6,125.69,14.44,8.48,0.853452,0.837418,0.900977
8,0.87067,0.9231389999999999,0.903681,0.887861,0.823749,3.381338,3.4654510000000003,0.344173,0.727295,0.755815,0.7625109999999999,24.609666,35.475525,37.908233,0.8682719999999999,0.852252,49.450453,32.66447466666667,154.78,224.96,18.42,10.52,0.828068,0.81338,0.890747
9,0.8896860000000001,0.922775,0.911466,0.883027,0.869898,3.315642,3.381338,0.34745,0.731691,0.7593840000000001,0.764857,24.904357,35.902632000000004,38.08886,0.870683,0.8588129999999999,53.288854,32.965283,144.59,210.21,16.69,10.09,0.836499,0.826669,0.895753
