Frame,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_motion2,integer_motion,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,psnr_y,psnr_cb,psnr_cr,float_ssim,float_ms_ssim,vmaf,psnr_avg,mse_avg,mse_y,mse_u,mse_v,ssim_y,ssim_u,ssim_v
0,0.998192,0.996058,0.99608,0.998396,1.000184,0.0,0.0,0.94327,0.9965229999999999,0.997408,0.997194,50.572798999999996,50.366898,49.485225,0.998453,0.99828,96.6524,50.14164066666666,0.6,0.57,0.6,0.73,0.991708,0.990531,0.988262
1,0.997893,0.995862,0.9960319999999999,0.9983299999999999,0.9995350000000001,0.330314,0.331571,0.9415610000000001,0.9970319999999999,0.9983120000000001,0.998848,50.484328000000005,50.261418,49.339603000000004,0.9983479999999999,0.9981780000000001,97.216473,50.02844966666667,0.62,0.58,0.61,0.76,0.991277,0.990338,0.987905
2,0.997791,0.995958,0.995815,0.998138,0.999453,0.330314,0.330314,0.942103,0.9974360000000001,0.9986450000000001,0.99902,50.58098,50.293344,49.370414000000004,0.9983879999999999,0.998224,97.225134,50.08157933333334,0.61,0.57,0.61,0.75,0.991421,0.990396,0.988032
3,0.997015,0.9958549999999999,0.9955129999999999,0.997742,0.9978229999999999,0.328463,0.330452,0.9357120000000001,0.992682,0.99405,0.993928,49.486734999999996,50.219527,49.30546,0.9978290000000001,0.997778,96.41463399999999,49.670573999999995,0.72,0.73,0.62,0.76,0.990925,0.990277,0.987875
4,0.9967790000000001,0.995892,0.995316,0.9967229999999999,0.9979979999999999,0.323811,0.328463,0.9353450000000001,0.9932479999999999,0.9949309999999999,0.995345,49.752687,50.242651,49.360448,0.9979370000000001,0.997843,96.511803,49.785261999999996,0.69,0.69,0.61,0.75,0.990988,0.990329,0.987985
5,0.996768,0.9957870000000001,0.9951469999999999,0.9973870000000001,0.9976219999999999,0.323811,0.323811,0.935241,0.9935940000000001,0.9954959999999999,0.996199,49.715555,50.202165,49.2879,0.997858,0.997776,96.604501,49.73520666666667,0.69,0.69,0.62,0.77,0.990899,0.990243,0.987903
6,0.9965040000000001,0.995705,0.9949389999999999,0.997115,0.997243,0.319939,0.32556199999999996,0.933526,0.9930899999999999,0.994827,0.99515,49.780031,50.206927,49.302169,0.997862,0.997778,96.42504699999999,49.76304233333334,0.69,0.68,0.62,0.76,0.990939,0.99038,0.987966
7,0.9967219999999999,0.995591,0.994668,0.997101,0.9980370000000001,0.319939,0.319939,0.930441,0.992341,0.993878,0.993942,49.544995,50.033463,49.169264,0.997783,0.997691,96.329148,49.582574,0.72,0.72,0.65,0.79,0.990707,0.989966,0.987698
8,0.9955040000000001,0.995733,0.994771,0.9977969999999999,0.9940950000000001,0.324023,0.324023,0.9262790000000001,0.987447,0.9887,0.9876010000000001,47.838726,49.99865,49.12999,0.99695,0.9968950000000001,95.308461,48.989122,0.95,1.07,0.65,0.79,0.990099,0.989863,0.987425
9,0.995194,0.995508,0.9951549999999999,0.995806,0.9946139999999999,0.330348,0.330348,0.926456,0.9876959999999999,0.988569,0.9872700000000001,47.522719,50.037714,49.183147999999996,0.99687,0.9967950000000001,95.218761,48.914527,1.01,1.15,0.64,0.78,0.990235,0.990019,0.987644
10,0.994172,0.9952770000000001,0.9940530000000001,0.9947090000000001,0.993294,0.336175,0.336175,0.926475,0.988117,0.989398,0.988116,47.198565,50.02552,49.140869,0.99684,0.996767,95.11033,48.788318000000004,1.07,1.24,0.65,0.79,0.990077,0.989952,0.987517
11,0.994704,0.995334,0.9944040000000001,0.9959180000000001,0.99366,0.337961,0.337961,0.928796,0.990142,0.9910479999999999,0.990476,46.890782,50.042353999999996,49.174232,0.996974,0.996948,95.500333,48.702456000000005,1.13,1.33,0.64,0.79,0.990208,0.989999,0.98763
12,0.997115,0.995292,0.9956200000000001,0.9986719999999999,0.9976389999999999,0.33811599999999997,0.33811599999999997,0.930192,0.9915450000000001,0.992801,0.99205,46.58945,49.984044,49.091929,0.997057,0.9970100000000001,96.236898,48.555141,1.19,1.43,0.65,0.8,0.990166,0.989822,0.987467
13,0.9971959999999999,0.995577,0.9953420000000001,0.998064,0.99829,0.343354,0.343354,0.9304020000000001,0.9919520000000001,0.9928969999999999,0.992345,46.102177000000005,50.039772,49.186869,0.996949,0.996878,96.29150200000001,48.442939333333335,1.3,1.6,0.64,0.78,0.990269,0.990046,0.987672
14,0.996419,0.995718,0.995519,0.996224,0.997353,0.339023,0.34910599999999997,0.9299729999999999,0.9911540000000001,0.9928299999999999,0.992648,46.433848,50.046201,49.169129,0.9972120000000001,0.997175,96.133219,48.549726,1.22,1.48,0.64,0.79,0.990228,0.989937,0.987509
15,0.9959049999999999,0.99551,0.994186,0.9951059999999999,0.9975299999999999,0.335935,0.339023,0.928683,0.9903049999999999,0.9921,0.9921260000000001,46.817556,49.964007,48.976375,0.997282,0.9972120000000001,95.938176,48.585979333333334,1.15,1.35,0.66,0.82,0.990136,0.989664,0.986863
16,0.995016,0.995302,0.9940049999999999,0.9952120000000001,0.9952350000000001,0.329651,0.335935,0.927765,0.989276,0.990927,0.990826,47.703596000000005,49.987244,49.122116,0.997233,0.9971620000000001,95.574788,48.93765200000001,0.98,1.1,0.65,0.8,0.99019,0.989791,0.987303
17,0.994084,0.9952989999999999,0.993801,0.9951110000000001,0.9928879999999999,0.31554499999999996,0.329651,0.9275040000000001,0.988507,0.990281,0.9902200000000001,48.071432,49.931378,48.923805,0.997072,0.997,95.271626,48.97553833333334,0.92,1.01,0.66,0.83,0.989998,0.989549,0.986661
18,0.988453,0.995411,0.9930690000000001,0.990185,0.9814950000000001,0.31234,0.31554499999999996,0.925953,0.986087,0.987766,0.9873280000000001,47.067018,49.999684,49.047661,0.996862,0.9967739999999999,93.688037,48.70478766666667,1.09,1.28,0.65,0.81,0.989994,0.98975,0.987089
19,0.987241,0.9951969999999999,0.992655,0.9907469999999999,0.97811,0.31234,0.31234,0.9247860000000001,0.984584,0.9858399999999999,0.984663,46.57906,50.010551,49.087716,0.996857,0.9967379999999999,93.12044,48.559109,1.19,1.43,0.65,0.8,0.990041,0.989834,0.987262
20,0.9871549999999999,0.995449,0.9933139999999999,0.9899680000000001,0.9779760000000001,0.313346,0.313346,0.9228370000000001,0.9837459999999999,0.9847030000000001,0.982978,45.968151,49.598166,48.400462,0.996577,0.996442,92.914826,47.98892633333333,1.37,1.65,0.71,0.94,0.989254,0.988603,0.984887
21,0.988083,0.9954649999999999,0.9933200000000001,0.9903629999999999,0.9801620000000001,0.319952,0.319952,0.9237709999999999,0.9834,0.983778,0.9817940000000001,45.745635,49.962928000000005,49.025565,0.996715,0.9965219999999999,92.989566,48.24470933333333,1.4,1.73,0.66,0.81,0.989895,0.989687,0.987045
22,0.990333,0.995674,0.994476,0.991325,0.9848709999999999,0.323371,0.323371,0.9247799999999999,0.9841260000000001,0.9850209999999999,0.98355,45.629622999999995,49.917877000000004,48.954873,0.99675,0.996574,93.681115,48.16745766666667,1.43,1.78,0.66,0.83,0.989857,0.989524,0.986783
23,0.9915719999999999,0.9955200000000001,0.9939379999999999,0.991524,0.9884360000000001,0.327397,0.327397,0.923905,0.982083,0.982671,0.980568,44.786569,49.891424,48.81776,0.996337,0.996149,93.606212,47.83191766666667,1.69,2.16,0.67,0.85,0.98963,0.989388,0.986382
24,0.992504,0.995409,0.994042,0.9932989999999999,0.9896860000000001,0.335982,0.33605300000000005,0.925758,0.9842139999999999,0.985351,0.983777,45.329085,50.038016,49.069124,0.9966219999999999,0.996444,94.203935,48.14540833333333,1.51,1.91,0.64,0.81,0.989937,0.989878,0.987224
25,0.9930459999999999,0.9956709999999999,0.9930690000000001,0.992633,0.992016,0.335982,0.335982,0.927157,0.9856520000000001,0.9866870000000001,0.9850040000000001,45.594021000000005,50.051263,49.055752000000005,0.996667,0.996483,94.485814,48.23367866666667,1.44,1.79,0.64,0.81,0.990006,0.989905,0.987199
26,0.992951,0.995662,0.993503,0.992599,0.991562,0.336393,0.336393,0.9272020000000001,0.986224,0.987065,0.9853129999999999,45.747455,50.052006,49.079454999999996,0.9966950000000001,0.996518,94.50958100000001,48.292972,1.4,1.73,0.64,0.8,0.990019,0.989894,0.987242
27,0.9937590000000001,0.995506,0.993858,0.9934350000000001,0.9930680000000001,0.343289,0.343289,0.930001,0.987848,0.988532,0.9863620000000001,46.249575,50.143034,49.204319,0.996856,0.9966280000000001,94.852221,48.53230933333333,1.26,1.54,0.63,0.78,0.990295,0.990135,0.987639
28,0.9918309999999999,0.9955229999999999,0.993763,0.9923850000000001,0.988599,0.34480500000000003,0.34480500000000003,0.926882,0.985499,0.9863190000000001,0.984453,46.27472,50.041942,49.050699,0.996541,0.996337,94.172492,48.45578700000001,1.26,1.53,0.64,0.81,0.989932,0.989814,0.987098
